Day,Order,Name,Category,Latitude,Longitude,Address / Google Maps query,Description,Indicative cost,Suggested time,Booking note
1,1,Dublin Airport,Airport,53.4264,-6.2499,"Dublin Airport, Ireland","Arrival, hire-car collection and starting point.",Car hire dependent,Allow 45-75 min,Check rental desk and shuttle details
1,2,Malahide Castle & Gardens,Castle,53.4448,-6.1642,"Malahide Castle and Gardens, Back Road, Malahide, Co. Dublin","An 800-year-old castle estate with guided castle visits, gardens and parkland.",Check current ticket type,60-90 min,Useful rather than essential
1,3,Brú na Bóinne Visitor Centre / Newgrange,Ancient site,53.6947,-6.4463,"Brú na Bóinne Visitor Centre, Donore, Co. Meath, A92 EH5C","UNESCO World Heritage landscape containing Newgrange, Knowth and Dowth. Tours depart from the visitor centre; do not drive directly to Newgrange.",Check official booking page,2-2.5 hrs,Essential - September tickets normally released 30 days ahead
1,4,Monasterboice High Crosses,Monastic site,53.7778,-6.4174,"Monasterboice, Co. Louth, Ireland",Early Christian monastic ruins noted for Muiredach's High Cross and a round tower.,Free,30-40 min,No
1,5,Carlingford,Town / viewpoint,54.0407,-6.1867,"Carlingford, Co. Louth, Ireland","Medieval coastal village beneath the Cooley Mountains, overlooking Carlingford Lough.",Free to explore,60-90 min,No
1,6,Ballymascanlon Hotel,Accommodation,54.0425,-6.3433,"Ballymascanlon Hotel and Golf Resort, Dundalk, Co. Louth",Overnight accommodation.,Booked separately,-,Confirm parking and check-in
2,1,Ballymascanlon Hotel,Accommodation,54.0425,-6.3433,"Ballymascanlon Hotel and Golf Resort, Dundalk, Co. Louth",Day-two departure point.,-,-,-
2,2,Clonmacnoise Monastic Site,Monastic site,53.3263,-7.9861,"Clonmacnoise Monastic Site, Shannonbridge, Co. Offaly","Major early Christian settlement on the River Shannon with ruined churches, round towers and high crosses. The visitor centre has recently been affected by essential works, so recheck before travelling.",Adult listed at €8 when fully operating,75-105 min,Recheck visitor-centre status
2,3,Athlone Castle,Castle / town,53.4235,-7.942,"Athlone Castle Visitor Centre, Castle Street, Athlone",A compact riverside castle and museum beside the historic Shannon crossing; easy to combine with lunch.,Check current admission,45-60 min optional,Usually not essential
2,4,The Sliding Rock Inn,Accommodation,53.2737,-9.0612,"The Sliding Rock Inn, Newcastle Road, Galway",Galway accommodation for two nights.,Booked separately,-,Confirm parking
2,5,Galway Latin Quarter,City walk,53.271,-9.0555,"Latin Quarter, Galway, Ireland","Pedestrian-friendly historic centre around Shop Street, Quay Street and the Spanish Arch.",Free,2 hrs to evening,Reserve dinner only if preferred
3,1,The Sliding Rock Inn,Accommodation,53.2737,-9.0612,"The Sliding Rock Inn, Newcastle Road, Galway",Start and finish of the Connemara loop.,-,-,-
